time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.coordinate_frame,.type_mask,.position.x,.position.y,.position.z,.velocity.x,.velocity.y,.velocity.z,.acceleration_or_force.x,.acceleration_or_force.y,.acceleration_or_force.z,.yaw,.yaw_rate
1970/01/01/02:05:37.874000,1,0,0,world,8,1479,0.0,0.0,0.0,-0.0243908746681,0.242243280879,-0.00348561659096,0.0,0.0,0.0,0.0,0.00536445854232
1970/01/01/02:05:37.902000,2,0,0,world,8,1479,0.0,0.0,0.0,-0.0202511328177,0.283679692706,-0.00276557462242,0.0,0.0,0.0,0.0,0.0201369486749
1970/01/01/02:05:37.939000,3,0,0,world,8,1479,0.0,0.0,0.0,-0.0294757819192,0.086965802432,-0.00430582269608,0.0,0.0,0.0,0.0,-0.041332885623
1970/01/01/02:05:37.966000,4,0,0,world,8,1479,0.0,0.0,0.0,-0.0380494691688,0.128005496166,-0.00340056309299,0.0,0.0,0.0,0.0,-0.0258256606758
1970/01/01/02:05:38.014000,5,0,0,world,8,1479,0.0,0.0,0.0,-0.0469691590598,0.160978070776,-0.00390381001689,0.0,0.0,0.0,0.0,-0.0286657959223
1970/01/01/02:05:38.045000,6,0,0,world,8,1479,0.0,0.0,0.0,-0.0522566062767,0.236489499095,-0.00350845357949,0.0,0.0,0.0,0.0,-0.0183236598969
1970/01/01/02:05:38.100000,7,0,0,world,8,1479,0.0,0.0,0.0,-0.0598296075027,0.266480066545,-0.00494790577263,0.0,0.0,0.0,0.0,-0.0251705236733
1970/01/01/02:05:38.133000,8,0,0,world,8,1479,0.0,0.0,0.0,-0.0816810211226,0.300939215955,-0.00520634847678,0.0,0.0,0.0,0.0,-0.0339090973139
1970/01/01/02:05:38.166000,9,0,0,world,8,1479,0.0,0.0,0.0,-0.0975160605061,0.33651185466,-0.0058351223529,0.0,0.0,0.0,0.0,-0.0438078343868
1970/01/01/02:05:38.210000,10,0,0,world,8,1479,0.0,0.0,0.0,-0.111046385267,0.373420724444,-0.00672308848173,0.0,0.0,0.0,0.0,-0.0548233129084
1970/01/01/02:05:38.232000,11,0,0,world,8,1479,0.0,0.0,0.0,-0.133232751285,0.408709327063,-0.00745926483105,0.0,0.0,0.0,0.0,-0.0668836161494
1970/01/01/02:05:38.256000,12,0,0,world,8,1479,0.0,0.0,0.0,-0.165301104153,0.406149771489,-0.00719259339668,0.0,0.0,0.0,0.0,-0.0885833054781
1970/01/01/02:05:38.300000,13,0,0,world,8,1479,0.0,0.0,0.0,5.19018657176,-6.1444927054,-0.00248052841323,0.0,0.0,0.0,0.0,-1.85584616661
1970/01/01/02:05:38.322000,14,0,0,world,8,1479,0.0,0.0,0.0,5.20497646281,-5.78234100372,-0.00156074274597,0.0,0.0,0.0,0.0,-1.73562908173
1970/01/01/02:05:38.338000,15,0,0,world,8,1479,0.0,0.0,0.0,5.31217203786,-5.35985854703,-0.000283637610909,0.0,0.0,0.0,0.0,-1.59488296509
1970/01/01/02:05:38.369000,16,0,0,world,8,1479,0.0,0.0,0.0,5.05036198063,-5.67667657252,-0.000239828566859,0.0,0.0,0.0,0.0,-1.69731020927
1970/01/01/02:05:38.395000,17,0,0,world,8,1479,0.0,0.0,0.0,-0.162747867934,0.75352801214,0.00521661690597,0.0,0.0,0.0,0.0,-0.0287505276501
1970/01/01/02:05:38.433000,18,0,0,world,8,1479,0.0,0.0,0.0,-0.15281461479,0.73899642882,0.00545059802031,0.0,0.0,0.0,0.0,-0.0251357853413
1970/01/01/02:05:38.479000,19,0,0,world,8,1479,0.0,0.0,0.0,5.38943831711,-6.07054885452,-0.0020162827322,0.0,0.0,0.0,0.0,-1.83000183105
1970/01/01/02:05:38.508000,20,0,0,world,8,1479,0.0,0.0,0.0,-0.157577893517,0.590765304859,0.0039502780753,0.0,0.0,0.0,0.0,-0.00529021257535
1970/01/01/02:05:38.560000,21,0,0,world,8,1479,0.0,0.0,0.0,-0.158663510481,0.601238179593,0.00306863380225,0.0,0.0,0.0,0.0,0.00360743119381
1970/01/01/02:05:38.596000,22,0,0,world,8,1479,0.0,0.0,0.0,-0.164901407029,0.601415998368,0.00210423906134,0.0,0.0,0.0,0.0,0.00400101393461
1970/01/01/02:05:38.615000,23,0,0,world,8,1479,0.0,0.0,0.0,-0.172470201193,0.612104168086,0.0016600883533,0.0,0.0,0.0,0.0,-0.000466532597784
1970/01/01/02:05:38.628000,24,0,0,world,8,1479,0.0,0.0,0.0,-0.156221852122,0.580353153598,0.00333885533559,0.0,0.0,0.0,0.0,-0.0154322348535
1970/01/01/02:05:38.661000,25,0,0,world,8,1479,0.0,0.0,0.0,-0.148613688456,0.663094364142,0.00396579259263,0.0,0.0,0.0,0.0,-0.00595068186522
1970/01/01/02:05:38.687000,26,0,0,world,8,1479,0.0,0.0,0.0,-0.146595147098,0.728433954309,0.00605085902165,0.0,0.0,0.0,0.0,-0.00586242461577
1970/01/01/02:05:38.728000,27,0,0,world,8,1479,0.0,0.0,0.0,-0.1590937016,0.755280934229,0.00896277748178,0.0,0.0,0.0,0.0,-0.0192784518003
1970/01/01/02:05:38.754000,28,0,0,world,8,1479,0.0,0.0,0.0,-0.182189033092,0.726733895456,0.0124601990763,0.0,0.0,0.0,0.0,-0.0467102639377
1970/01/01/02:05:38.800000,29,0,0,world,8,1479,0.0,0.0,0.0,-0.161473894009,0.88914918835,0.0157613416278,0.0,0.0,0.0,0.0,-0.0269933957607
1970/01/01/02:05:38.834000,30,0,0,world,8,1479,0.0,0.0,0.0,-0.203263360321,0.832073247821,0.0180041125904,0.0,0.0,0.0,0.0,-0.0617921054363
1970/01/01/02:05:38.866000,31,0,0,world,8,1479,0.0,0.0,0.0,-0.194228612654,0.868203674984,0.0193804772141,0.0,0.0,0.0,0.0,-0.0565787293017
1970/01/01/02:05:38.897000,32,0,0,world,8,1479,0.0,0.0,0.0,-0.235831943817,0.793536618304,0.0224699261078,0.0,0.0,0.0,0.0,-0.0899006351829
1970/01/01/02:05:38.929000,33,0,0,world,8,1479,0.0,0.0,0.0,-0.249210551496,0.796934124444,0.0244610131315,0.0,0.0,0.0,0.0,-0.0967019349337
1970/01/01/02:05:38.947000,34,0,0,world,8,1479,0.0,0.0,0.0,-0.268650936243,0.763754604008,0.0257340755517,0.0,0.0,0.0,0.0,-0.108611650765
1970/01/01/02:05:38.988000,35,0,0,world,8,1479,0.0,0.0,0.0,-0.287270702067,0.714258703224,0.0308343080383,0.0,0.0,0.0,0.0,-0.123963668942
1970/01/01/02:05:39.060000,36,0,0,world,8,1479,0.0,0.0,0.0,-0.253557989021,0.719466373126,0.0283850694062,0.0,0.0,0.0,0.0,-0.101122878492
1970/01/01/02:05:39.085000,37,0,0,world,8,1479,0.0,0.0,0.0,-0.149574540565,0.842380278801,0.0276179237924,0.0,0.0,0.0,0.0,-0.0316494479775
1970/01/01/02:05:39.109000,38,0,0,world,8,1479,0.0,0.0,0.0,-0.224238554116,0.525548240327,0.0296774621582,0.0,0.0,0.0,0.0,-0.106020562351
1970/01/01/02:05:39.125000,39,0,0,world,8,1479,0.0,0.0,0.0,-0.21657521892,0.57252978771,0.0315909447356,0.0,0.0,0.0,0.0,-0.0959120690823
1970/01/01/02:05:39.156000,40,0,0,world,8,1479,0.0,0.0,0.0,-0.176681468655,0.589944902914,0.0255125588949,0.0,0.0,0.0,0.0,-0.0537806004286
1970/01/01/02:05:39.205000,41,0,0,world,8,1479,0.0,0.0,0.0,-0.164277634015,0.362315108247,0.0213593952899,0.0,0.0,0.0,0.0,-0.0792858824134
1970/01/01/02:05:39.248000,42,0,0,world,8,1479,0.0,0.0,0.0,-0.124527770694,0.476920482277,0.0207149123603,0.0,0.0,0.0,0.0,-0.0412953086197
1970/01/01/02:05:39.269000,43,0,0,world,8,1479,0.0,0.0,0.0,-0.117062666987,0.361541812985,0.0119723064359,0.0,0.0,0.0,0.0,-0.01508633513
