time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.errors,.cmds,.ekf_output,.e_m,.e_m_dot,.time
1970/01/01/02:05:37.874000,4,0,0,,"(-0.16354525089263916, 0.1583923101425171, -0.08845289051532745, 0.10432840138673782, 0.14846137166023254, 0.10068599134683609, 0.07034140080213547, 0.1110280379652977)","(-0.024390874430537224, 0.24224327504634857, -0.0034856165293604136, 0.005364458542317152)","(-0.008288322016596794, 0.13445724546909332, 1.000032901763916, 1.000016450881958)","(-0.00829884223639965,)","(0.13445773720741272,)",337.868011475
1970/01/01/02:05:37.900000,5,0,0,,"(-0.16354525089263916, 0.15836572647094727, -0.08423591405153275, 0.10434626042842865, 0.15596537292003632, 0.10058798640966415, 0.0778660923242569, 0.11093012243509293)","(-0.020251132547855377, 0.28367969393730164, -0.002765574725344777, 0.02013694867491722)","(-0.003481705905869603, 0.14727887511253357, 1.0008862018585205, 1.0004431009292603)","(-0.003487425623461604,)","(0.1472920924425125,)",337.894012451
1970/01/01/02:05:37.939000,6,0,0,,"(-0.146447092294693, 0.15811185538768768, -0.0882505252957344, 0.1038452684879303, 0.1711510568857193, 0.10007618367671967, 0.10441260039806366, 0.11029111593961716)","(-0.029475782066583633, 0.08696579933166504, -0.004305822774767876, -0.04133288562297821)","(0.010208556428551674, 0.22493930160999298, 1.0060546398162842, 1.003027319908142)","(0.01021651178598404,)","(0.22502967715263367,)",337.92098999
1970/01/01/02:05:37.966000,7,0,0,,"(-0.13375020027160645, 0.1582225114107132, -0.07560137659311295, 0.10395419597625732, 0.1711510568857193, 0.10004960745573044, 0.10817831754684448, 0.11022823303937912)","(-0.038049470633268356, 0.1280054897069931, -0.0034005630295723677, -0.025825660675764084)","(0.01747923344373703, 0.23999232053756714, 1.007056474685669, 1.0035282373428345)","(0.017494451254606247,)","(0.24009764194488525,)",337.955993652
1970/01/01/02:05:38.014000,8,0,0,,"(-0.13390427827835083, 0.17111214995384216, -0.07248952239751816, 0.1168661043047905, 0.17771710455417633, 0.11018777638673782, 0.11032169312238693, 0.12046904116868973)","(-0.04696916043758392, 0.1609780639410019, -0.0039038099348545074, -0.028665795922279358)","(0.020393120124936104, 0.17400676012039185, 1.0026650428771973, 1.0013325214385986)","(0.02041124925017357,)","(0.17404653131961823,)",337.993011475
1970/01/01/02:05:38.045000,9,0,0,,"(-0.13505645096302032, 0.18479512631893158, -0.07038141787052155, 0.13069960474967957, 0.1795969158411026, 0.12085431069135666, 0.1114804819226265, 0.13131006062030792)","(-0.05225660651922226, 0.23648950457572937, -0.0035084534902125597, -0.018323659896850586)","(0.0213907603174448, 0.07423121482133865, 0.9960247874259949, 0.998012363910675)","(0.021409884095191956,)","(0.07417188584804535,)",338.042999268
1970/01/01/02:05:38.100000,10,0,0,,"(-0.1409897655248642, 0.1996295005083084, -0.06876461952924728, 0.14575745165348053, 0.19579310715198517, 0.13212180137634277, 0.1158260926604271, 0.14285892248153687)","(-0.05982960760593414, 0.26648005843162537, -0.004947905894368887, -0.025170523673295975)","(0.025443030521273613, -0.013496438041329384, 0.990186333656311, 0.9950931668281555)","(0.025466203689575195,)","(-0.013642909936606884,)",338.088989258
1970/01/01/02:05:38.133000,11,0,0,,"(-0.13843701779842377, 0.21763105690479279, -0.06745334714651108, 0.1639218032360077, 0.1894766241312027, 0.14550909399986267, 0.10867540538311005, 0.1564602553844452)","(-0.0816810205578804, 0.3009392023086548, -0.0052063483744859695, -0.03390909731388092)","(0.023044638335704803, -0.0950750932097435, 0.984757125377655, 0.9923785328865051)","(0.023065416142344475,)","(-0.09530260413885117,)",338.12600708
1970/01/01/02:05:38.166000,12,0,0,,"(-0.13975654542446136, 0.23755818605422974, -0.07014968246221542, 0.1839505285024643, 0.18719108402729034, 0.15977919101715088, 0.10552971810102463, 0.17089927196502686)","(-0.09751605987548828, 0.33651185035705566, -0.005835122428834438, -0.04380783438682556)","(0.02068522572517395, -0.1401321291923523, 0.9817584753036499, 0.990879237651825)","(0.020703645423054695,)","(-0.14040440320968628,)",338.151000977
1970/01/01/02:05:38.210000,13,0,0,,"(-0.145440012216568, 0.25893640518188477, -0.07731862366199493, 0.20541821420192719, 0.18496376276016235, 0.1745419204235077, 0.10242678225040436, 0.18581974506378174)","(-0.11104638874530792, 0.37342071533203125, -0.006723088677972555, -0.054823312908411026)","(0.016144096851348877, -0.1825602501630783, 0.9789348244667053, 0.9894673824310303)","(0.016157981008291245,)","(-0.1828746497631073,)",338.187988281
